Generacion,Mejor individuo,Mejor Fitness
239,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
240,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
241,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
242,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
243,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
244,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
245,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
246,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
247,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
248,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
249,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
250,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
251,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
252,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
253,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
254,[0.01289923 0.12395552 0.39965617 0.20747831 0.21940663 0.04079142],-0.6694476328863319
255,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
256,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
257,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
258,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
